scientific_name,common_name
Struthionidae,Ostriches
Rheidae,Rheas
Apterygidae,Kiwis
Casuariidae,Cassowaries
Tinamidae,Tinamous
Anhimidae,Screamers
Anseranatidae,Magpie Goose
Anatidae,Ducks
Megapodiidae,Megapodes
Cracidae,Chachalacas
Numididae,Guineafowl
Odontophoridae,New World Quail
Phasianidae,Pheasants
Caprimulgidae,Nightjars
Steatornithidae,Oilbird
Nyctibiidae,Potoos
Podargidae,Frogmouths
Aegothelidae,Owlet-nightjars
Hemiprocnidae,Treeswifts
Apodidae,Swifts
Trochilidae,Hummingbirds
Musophagidae,Turacos
Otididae,Bustards
Cuculidae,Cuckoos
Mesitornithidae,Mesites
Pteroclidae,Sandgrouse
Columbidae,Pigeons
Heliornithidae,Finfoots
Sarothruridae,Flufftails
Rallidae,Rails
Psophiidae,Trumpeters
Gruidae,Cranes
Aramidae,Limpkin
Podicipedidae,Grebes
Phoenicopteridae,Flamingos
Turnicidae,Buttonquail
Burhinidae,Stone-curlews
Chionidae,Sheathbills
Pluvianellidae,Magellanic Plover
Haematopodidae,Oystercatchers
Ibidorhynchidae,Ibisbill
Recurvirostridae,Stilts
Charadriidae,Plovers
Pluvianidae,Egyptian Plover
Rostratulidae,Painted-snipes
Jacanidae,Jacanas
Pedionomidae,Plains-wanderer
Thinocoridae,Seedsnipes
Scolopacidae,Sandpipers
Dromadidae,Crab-plover
Glareolidae,Coursers
Laridae,Gulls
Stercorariidae,Skuas
Alcidae,Auks
Rhynochetidae,Kagu
Eurypygidae,Sunbittern
Phaethontidae,Tropicbirds
Gaviidae,Loons
Spheniscidae,Penguins
Oceanitidae,Austral Storm Petrels
Diomedeidae,Albatrosses
Hydrobatidae,Northern Storm Petrels
Procellariidae,Petrels
Ciconiidae,Storks
Fregatidae,Frigatebirds
Sulidae,Gannets
Anhingidae,Anhingas
Phalacrocoracidae,Cormorants
Threskiornithidae,Ibises
Ardeidae,Herons
Scopidae,Hamerkop
Balaenicipitidae,Shoebill
Pelecanidae,Pelicans
Opisthocomidae,Hoatzin
Cathartidae,New World Vultures
Sagittariidae,Secretarybird
Pandionidae,Ospreys
Accipitridae,Kites
Tytonidae,Barn Owls
Strigidae,Owls
Coliidae,Mousebirds
Leptosomidae,Cuckoo-roller
Trogonidae,Trogons
Upupidae,Hoopoes
Phoeniculidae,Wood Hoopoes
Bucorvidae,Ground Hornbills
Bucerotidae,Hornbills
Coraciidae,Rollers
Brachypteraciidae,Ground Rollers
Alcedinidae,Kingfishers
Todidae,Todies
Momotidae,Motmots
Meropidae,Bee-eaters
Galbulidae,Jacamars
Bucconidae,Puffbirds
Capitonidae,New World Barbets
Semnornithidae,Toucan Barbets
Ramphastidae,Toucans
Megalaimidae,Asian Barbets
Lybiidae,African Barbets
Indicatoridae,Honeyguides
Picidae,Woodpeckers
Cariamidae,Seriemas
Falconidae,Caracaras
Strigopidae,New Zealand Parrots
Cacatuidae,Cockatoos
Psittacidae,African
Psittaculidae,Old World Parrots
Acanthisittidae,New Zealand Wrens
Sapayoidae,Sapayoa
Philepittidae,Asities
Eurylaimidae,Typical Broadbills
Calyptomenidae,African
Pittidae,Pittas
Furnariidae,Ovenbirds
Thamnophilidae,Antbirds
Formicariidae,Antthrushes
Grallariidae,Antpittas
Conopophagidae,Gnateaters
Rhinocryptidae,Tapaculos
Melanopareiidae,Crescentchests
Tyrannidae,Tyrant Flycatchers
Cotingidae,Cotingas
Pipridae,Manakins
Tityridae,Tityras
Menuridae,Lyrebirds
Atrichornithidae,Scrubbirds
Ptilonorhynchidae,Bowerbirds
Climacteridae,Australasian Treecreepers
Maluridae,Australasian Wrens
Meliphagidae,Honeyeaters
Dasyornithidae,Bristlebirds
Pardalotidae,Pardalotes
Acanthizidae,Australasian Warblers
Pomatostomidae,Australasian Babblers
Orthonychidae,Logrunners
Cnemophilidae,Satinbirds
Melanocharitidae,Berrypeckers
Paramythiidae,Painted Berrypeckers
Callaeidae,New Zealand Wattlebirds
Notiomystidae,Stitchbird
Psophodidae,Whipbirds
Cinclosomatidae,Jewel-babblers
Platysteiridae,Wattle-eyes
Malaconotidae,Bushshrikes
Machaerirhynchidae,Boatbills
Vangidae,Vangas
Pityriasidae,Bristlehead
Artamidae,Woodswallows
Rhagologidae,Mottled Berryhunter
Aegithinidae,Ioras
Campephagidae,Cuckooshrikes
Mohouidae,Whiteheads
Neosittidae,Sittellas
Eulacestomatidae,Ploughbill
Oreoicidae,Australo-Papuan Bellbirds
Falcunculidae,Shriketits
Pachycephalidae,Whistlers
Vireonidae,Vireos
Oriolidae,Figbirds
Dicruridae,Drongos
Rhipiduridae,Fantails
Monarchidae,Monarchs
Platylophidae,Jayshrike
Laniidae,Shrikes
Corvidae,Crows
Corcoracidae,Australian Mudnesters
Melampittidae,Melampittas
Ifritidae,Ifrit
Paradisaeidae,Birds-of-paradise
Petroicidae,Australasian Robins
Picathartidae,Rockfowl
Chaetopidae,Rockjumpers
Eupetidae,Rail-babbler
Bombycillidae,Waxwings
Ptiliogonatidae,Silky-flycatchers
Hypocoliidae,Hypocolius
Dulidae,Palmchat
Mohoidae,Oos
Hylocitreidae,Hylocitrea
Stenostiridae,Fairy Flycatchers
Paridae,Tits
Remizidae,Penduline Tits
Nicatoridae,Nicators
Panuridae,Bearded Reedling
Alaudidae,Larks
Pycnonotidae,Bulbuls
Hirundinidae,Swallows
Pnoepygidae,Cupwings
Macrosphenidae,Crombecs
Cettiidae,Cettia Bush Warblers
Scotocercidae,Streaked Scrub Warbler
Erythrocercidae,Yellow Flycatchers
Hyliidae,Hylias
Aegithalidae,Bushtits
Phylloscopidae,Leaf Warblers
Acrocephalidae,Reed Warblers
Locustellidae,Grassbirds
Donacobiidae,Black-capped Donacobius
Bernieridae,Tetrakas
Cisticolidae,Cisticolas
Sylviidae,Sylviid Babblers
Paradoxornithidae,Parrotbills
Zosteropidae,White-eyes
Timaliidae,Babblers
Pellorneidae,Ground Babblers
Alcippeidae,Alcippe Fulvettas
Leiothrichidae,Laughingthrushes
Modulatricidae,Dapple-throat
Promeropidae,Sugarbirds
Irenidae,Fairy-bluebirds
Regulidae,Goldcrests
Elachuridae,Elachura
Hyliotidae,Hyliotas
Troglodytidae,Wrens
Polioptilidae,Gnatcatchers
Sittidae,Nuthatches
Tichodromidae,Wallcreeper
Certhiidae,Treecreepers
Mimidae,Mockingbirds
Sturnidae,Starlings
Buphagidae,Oxpeckers
Turdidae,Thrushes
Muscicapidae,Chats
Cinclidae,Dippers
Chloropseidae,Leafbirds
Dicaeidae,Flowerpeckers
Nectariniidae,Sunbirds
Passeridae,Old World Sparrows
Ploceidae,Weavers
Estrildidae,Waxbills
Viduidae,Indigobirds
Peucedramidae,Olive Warbler
Prunellidae,Accentors
Motacillidae,Wagtails
Urocynchramidae,Przevalskis Finch
Fringillidae,Finches
Calcariidae,Longspurs
Rhodinocichlidae,Thrush-tanager
Emberizidae,Buntings
Passerellidae,New World Sparrows
Calyptophilidae,Chat-tanagers
Phaenicophilidae,Hispaniolan Tanagers
Nesospingidae,Puerto Rican Tanager
Spindalidae,Spindalises
Zeledoniidae,Wrenthrush
Teretistridae,Cuban Warblers
Icteriidae,Yellow-breasted Chat
Icteridae,Oropendolas
Parulidae,New World Warblers
Mitrospingidae,Mitrospingid Tanagers
Cardinalidae,Cardinals
Thraupidae,Tanagers
